,Name,ID,Description,Homepage,Popularities,Ratings,Os Types,Bases,Origins,Architectures,Desktops,Categories,Statuses
10,Garuda,opensuse,"The openSUSE project is a community program sponsored by SUSE Linux and other companies. Promoting the use of Linux everywhere, this program provides free, easy access to openSUSE, a complete Linux distribution. The openSUSE project has three main goals: make openSUSE the easiest Linux for anyone to obtain and the most widely used Linux distribution; leverage open source collaboration to make openSUSE the world's most usable Linux distribution and desktop environment for new and experienced Linux users; dramatically simplify and open the development and packaging processes to make openSUSE the platform of choice for Linux developers and software vendors.",['https://www.opensuse.org/'],['9 (779 hits per day)'],['8.68'],['Linux'],[],['Germany'],"['aarch64', 'armhf', 'i686', 'ppc64', 'ppc64el', 's390x', 'x86_64']","['Cinnamon', 'Enlightenment', 'GNOME', 'IceWM', 'KDE Plasma', 'LXDE', 'LXQt', 'MATE', 'Xfce']","['Desktop', 'Immutable', 'Server', 'Live Medium', 'Raspberry Pi']",['Active']
11,Lite,zorin,Zorin OS is an Ubuntu-based Linux distribution designed especially for newcomers to Linux. It has a Windows-like graphical user interface and many programs similar to those found in Windows. Zorin OS also comes with an application that lets users run many Windows programs. The distribution's ultimate goal is to provide a Linux alternative to Windows and let Windows users enjoy all the features of Linux without complications.,['https://www.zorinos.com/'],['10 (649 hits per day)'],['8.41'],['Linux'],"['Debian', 'Ubuntu (LTS)']",['Ireland'],['x86_64'],"['GNOME', 'Xfce']","['Beginners', 'Desktop', 'Live Medium']",['Active']
12,antiX,garuda,"Garuda Linux is a rolling distribution based on the Arch Linux operating system. Unlike Arch Linux, Garuda Linux comes with a graphical installer (Calamares) for easy installation, and other advanced graphical tools for managing your system. Garuda is a performance-oriented distro with many performance enhancing tweaks. Some of the many tweaks include using zram, a performance CPU governor, along with custom memory management software. Garuda Linux has striven to provide system stability by including the Timeshift backup utility.",['https://garudalinux.org/'],['11 (583 hits per day)'],['8.35'],['Linux'],['Arch'],['India'],['x86_64'],"['bspwm', 'Cinnamon', 'GNOME', 'i3', 'KDE Plasma', 'Recbox', 'UKUI', 'Xfce']","['Desktop', 'Live Media']",['Active']
13,KDE neon,kdeneon,"KDE neon is a Ubuntu-based Linux distribution and live DVD featuring the latest KDE Plasma desktop and other KDE community software. Besides the installable DVD image, the project provides a rapidly-evolving software repository with all the latest KDE software. Two editions of the product are available - a ""User"" edition, designed for those interested in checking out the latest KDE software as it gets released, and a ""Developer's"" edition, created as a platform for testing cutting-edge KDE applications.",['https://neon.kde.org/'],['14 (497 hits per day)'],['8.46'],['Linux'],"['Debian', 'Ubuntu (LTS)']",['United Kingdom'],"['aarch64', 'x86_64']",['KDE Plasma'],"['Desktop', 'Live Medium']",['Active']
14,elementary,freebsd,"FreeBSD is a UNIX-like operating system for the i386, amd64, IA-64, arm, MIPS, powerpc, ppc64, PC-98 and UltraSPARC platforms based on U.C. Berkeley's ""4.4BSD-Lite"" release, with some ""4.4BSD-Lite2"" enhancements. It is also based indirectly on William Jolitz's port of U.C. Berkeley's ""Net/2"" to the i386, known as ""386BSD"", though very little of the 386BSD code remains. FreeBSD is used by companies, Internet Service Providers, researchers, computer professionals, students and home users all over the world in their work, education and recreation. FreeBSD comes with over 20,000 packages (pre-compiled software that is bundled for easy installation), covering a wide range of areas: from server software, databases and web servers, to desktop software, games, web browsers and business software - all free and easy to install.",['https://www.freebsd.org/'],['24 (352 hits per day)'],['8.78'],['BSD'],[],['USA'],"['arm', 'aarch64', 'armel', 'i486', 'ia64', 'mips', 'mipsel', 'sparc64', 'pc98', 'powerpc', 'powerpc64', 'ps3', 'x86_64', 'xbox']","['AfterStep', 'Awesome', 'Blackbox', 'Enlightenment', 'Fluxbox', 'GNOME', 'IceWM', 'KDE Plasma', 'LXDE', 'Openbox', 'WMaker', 'Xfce']","['Desktop', 'Firewall', 'Raspberry Pi', 'Server']",['Active']
15,Mageia,nobara,"Nobara Project is a modified version of Fedora Linux with user-friendly fixes added to it. The distribution comes with certain features that do not ship with the regular Fedora, such as WINE dependencies, OBS Studio, 3rd party codec packages for GStreamer, NVIDIA drivers, and some package fixes. Nobara aims to fix most of those issues and offer a better gaming, streaming and content creation experience out of the box. The project's official release comes with a custom-themed GNOME desktop, but it also offers separate editions with standard GNOME and KDE desktops.",['https://nobaraproject.org/'],['17 (474 hits per day)'],['8.26'],['Linux'],['Fedora'],['USA'],['x86_64'],"['GNOME', 'KDE']","['Desktop', 'Live Medium']",['Active']
16,Nobara,antix,"antiX is a fast, lightweight and easy-to-install Linux live CD distribution based on Debian's ""Stable"" branch for x86 compatible systems. antiX offers users the ""antiX Magic"" in an environment suitable for old computers. The goal of antiX is to provide a light, but fully functional and flexible free operating system for both newcomers and experienced users of Linux. It should run on most computers, ranging from 256 MB old PIII systems with pre-configured swap to the latest powerful boxes. 256 MB RAM is recommended minimum for antiX. The installer needs minimum 2.7 GB hard disk size. antiX can also be used as a fast-booting rescue CD, or run ""live"" on a USB stick, with or without persistent file storage.",['https://antixlinux.com/'],['13 (511 hits per day)'],['8.12'],['Linux'],['Debian (Stable)'],['Greece'],"['i686', 'x86_64']","['Fluxbox', 'IceWM', 'JWM']","['From RAM', 'Desktop', 'Live Medium', 'Old Computers']",['Active']
17,Vanilla,relianoid,"Relianoid is a Debian-based Linux distribution for load balancing. The distribution offers a load balancing oriented operating system for testing, development, and quality assurance environments. Relianoid is available in Community (free of cost) and Enterprise editions.",['https://www.relianoid.com/'],['163 (55 hits per day)'],0,['Linux'],['Debian'],['USA'],['x86_64'],"['No Desktop', 'WebUI']","['Firewall', 'Specialist']",['Active']
18,NixOS,elementary,"elementary OS is an Ubuntu-based desktop distribution. Some of its more interesting features include a custom desktop environment called Pantheon and many custom apps including Photos, Music, Videos, Calendar, Terminal, Files, and more. It also comes with some familiar apps like the Epiphany web browser and a fork of Geary mail.",['https://elementary.io/'],['15 (492 hits per day)'],['4.83'],['Linux'],"['Debian', 'Ubuntu']",['USA'],['x86_64'],['Pantheon'],"['Beginners', 'Desktop', 'Live Medium']",['Active']
19,PCLinuxOS,lite,"Linux Lite is a beginner-friendly Linux distribution based on Ubuntu's long-term support (LTS) release and featuring the Xfce desktop. Linux Lite primarily targets Windows users. It aims to provide a complete set of applications to assist users with their everyday computing needs, including a full office suite, media players and other essential daily software.",['https://www.linuxliteos.com/'],['12 (580 hits per day)'],['8.12'],['Linux'],"['Debian', 'Ubuntu (LTS)']",['New Zealand'],['x86_64'],['Xfce'],"['Beginners', 'Desktop', 'Live Medium']",['Active']
20,Kali,nixos,"NixOS is an independently developed GNU/Linux distribution that aims to improve the state of the art in system configuration management. In NixOS, the entire operating system, including the kernel, applications, system packages and configuration files, are built by the Nix package manager. Nix stores all packages in isolation from each other; as a result there are no /bin, /sbin, /lib or /usr directories and all packages are kept in /nix/store instead. Other innovative features of NixOS include reliable upgrades, rollbacks, reproducible system configurations, source-based model with binaries, and multi-user package management. Although NixOS started as a research project, it is now a functional and usable operating system that includes hardware detection, KDE as the default desktop, and systemd for managing system services.",['https://nixos.org/'],['19 (385 hits per day)'],['9.02'],['Linux'],[],['Netherlands'],"['i686', 'x86_64']","['Awesome', 'Enlightenment', 'Fluxbox', 'GNOME', 'i3', 'IceWM', 'KDE Plasma', 'LXQt', 'Ratpoison', 'Xfce']","['Desktop', 'Education', 'Live Medium', 'Server']",['Active']
21,Puppy,vanilla,"Vanilla OS, a fixed-release distribution based on Ubuntu with the GNOME desktop, is an immutable operating system. The core parts of the system are locked down to prevent unwanted changes and corruption from third-party applications or a faulty update.",['https://vanillaos.org/'],['18 (397 hits per day)'],['6.36'],['Linux'],"['Debian', 'Ubuntu']",['Global'],['x86_64'],['GNOME'],"['Desktop', 'Immutable', 'Live Medium']",['Active']
22,SparkyLinux,easyos,"EasyOS is an experimental Linux distribution which uses many of the technologies and package formats pioneered by Puppy Linux. The distribution features custom container technology called Easy Containers which can run applications or the entire desktop environment in a container. Packages, desktop settings, networking and sharing resources over the network can all be controlled through graphical utilities.",['https://easyos.org/'],['31 (306 hits per day)'],['8.81'],['Linux'],[],['Australia'],['x86_64'],['JWM'],"['Desktop', 'Live Medium', 'Specialist']",['Active']
23,FreeBSD,redhat,"Red Hat Enterprise Linux (RHEL) is a Linux distribution developed by Red Hat and targeted toward the commercial market. Red Hat Enterprise Linux is released in server editions for x86, x86_64, Itanium, PowerPC and IBM System z architectures, and desktop editions for x86 and x86_64 processors. All of Red Hat's official support and training and the Red Hat Certification Program centres around the Red Hat Enterprise Linux platform. Red Hat uses strict trademark rules to restrict free re-distribution of its officially supported versions of Red Hat Enterprise Linux, but still freely provides its source code. Third-party derivatives can be built and redistributed by stripping away non-free components.",['http://www.redhat.com/'],['64 (163 hits per day)'],['6.83'],['Linux'],['Fedora'],['USA'],"['aarch64', 'i386', 'ia64', 'IBM Z', 'ppc', 'ppc64el', 's390', 's390x', 'x86_64']",['GNOME'],"['Desktop', 'Server']",['Active']
24,AlmaLinux,mageia,"Mageia is a fork of Mandriva Linux formed in September 2010 by former employees and contributors to the popular French Linux distribution. Unlike Mandriva, which is a commercial entity, the Mageia project is a community project and a non-profit organisation whose goal is to develop a free Linux-based operating system.",['https://www.mageia.org/'],['16 (478 hits per day)'],['8.26'],['Linux'],[],['France'],"['aarch64', 'armv7', 'i586', 'x86_64']","['Cinnamon', 'GNOME', 'IceWM', 'KDE', 'MATE', 'LXDE', 'LXQt', 'Openbox', 'WMaker', 'Xfce']","['Desktop', 'Live Medium', 'Server']",['Active']
25,ArcoLinux,kaos,"KaOS is a desktop Linux distribution that features the latest version of the KDE desktop environment, the Calligra office suite, and other popular software applications that use the Qt toolkit. It was inspired by Arch Linux, but the developers build their own packages which are available from in-house repositories. KaOS employs a rolling-release development model and is built exclusively for 64-bit computer systems.",['http://kaosx.us/'],['48 (200 hits per day)'],['5.81'],['Linux'],[],['USA'],['x86_64'],['KDE Plasma'],"['Desktop', 'Live Medium']",['Active']
26,Q4OS,kali,"Kali Linux (formerly known as BackTrack) is a Debian-based distribution with a collection of security and forensics tools. It features timely security updates, support for the ARM architecture, a choice of four popular desktop environments, and seamless upgrades to newer versions.",['https://www.kali.org/'],['21 (370 hits per day)'],['8.73'],['Linux'],['Debian (Testing)'],['Gibraltar'],"['aarch64', 'Apple M1', 'armel', 'i686', 'x86_64']","['GNOME', 'KDE Plasma', 'Xfce']","['Data Rescue', 'Forensics', 'Live Medium', 'Raspberry Pi', 'Security']",['Active']
27,Peppermint,makulu,"MakuluLinux is a rolling-release, desktop distribution based either on Ubuntu's LTS (long-term support) release or Debian's ""Testing"" branch. It includes pre-installed multimedia codecs, device drivers and software for everyday use. MakuluLinux comes in four editions: ""LinDoz"" - featuring the Cinnamon desktop with the user interface customised to resemble that of Microsoft Windows, ""Core"" - presenting a highly customised Xfce desktop environment, ""Flash"" - providing a standard Xfce desktop, and finally ""Shift"" - delivering a pre-configured GNOME desktop environment.",['http://www.makululinux.com/'],['63 (163 hits per day)'],['6.33'],['Linux'],"['Debian (Testing)', 'Ubuntu (LTS)']",['Vietnam'],['x86_64'],"['Cinnamon', 'GNOME', 'Xfce']","['Desktop', 'Gaming', 'Live Medium']",['Active']
28,CachyOS,pclinuxos,"PCLinuxOS is a user-friendly Linux distribution with out-of-the-box support for many popular graphics and sound cards, as well as other peripheral devices. The bootable live DVD provides an easy-to-use graphical installer and the distribution sports a wide range of popular applications for the typical desktop user, including browser plugins and full multimedia playback. The intuitive system configuration tools include Synaptic for package management, Addlocale to add support to many languages and Mylivecd to create a customised live CD.",['https://www.pclinuxos.com/'],['20 (373 hits per day)'],['8.18'],['Linux'],[],['USA'],['x86_64'],"['KDE Plasma', 'MATE', 'Xfce']","['Beginners', 'Desktop', 'Live Medium']",['Active']
29,TUXEDO,puppy,"Puppy Linux is yet another Linux distribution. What's different here is that Puppy is extraordinarily small, yet quite full-featured. Puppy boots into a ramdisk and, unlike live CD distributions that have to keep pulling stuff off the CD, it loads into RAM. This means that all applications start in the blink of an eye and respond to user input instantly. Puppy Linux has the ability to boot off a flash card or any USB memory device, CDROM, Zip disk or LS/120/240 Superdisk, floppy disks, internal hard drive. It can even use a multisession formatted CD-RW/DVD-RW to save everything back to the CD/DVD with no hard drive required at all.",['https://puppylinux-woof-ce.github.io/'],['22 (355 hits per day)'],['7.69'],['Linux'],[],['Australia'],"['i686', 'x86_64']","['JWM', 'Openbox']","['Desktop', 'From RAM', 'Old Computers', 'Live Medium', 'Netbooks']",['Active']
30,EasyOS,tuxedo,"TUXEDO OS is an Ubuntu-based distribution developed in Germany by TUXEDO Computers GmbH, designed and optimised for the company's own range of Linux-friendly personal computers and notebooks. The distribution uses KDE Plasma as the preferred desktop. Some of the differences between Ubuntu and TUXEDO OS include custom boot menu, the TUXEDO Control Centre, Calamares installer, availability of the Lutris open gaming platform, preference for the PipeWire audio daemon (over PulseAudio), removal of Ubuntu's snap daemon and snap packages, and various other tweaks and enhancements.",['https://www.tuxedocomputers.com/os'],['30 (308 hits per day)'],['8.17'],['Linux'],"['Debian', 'Ubuntu (LTS)']",['Germany'],['x86_64'],['KDE Plasma'],"['Beginners', 'Desktop', 'Live Medium']",['Active']
31,Alpine,devuan,"Devuan GNU+Linux is a Linux distribution forked from Debian in 2015. The project's primary goal is to provide a variant of Debian without the complexities and dependencies of systemd, an init system and services manager originally developed by Red Hat and later adopted by most other Linux distributions. Devuan's initial beta release was made available in April 2016, together with an upgrade path from Debian 7.0 ""Wheezy"" and a possibility to switch to Devuan from Debian 8.0 ""Jessie"". The distribution adopted Xfce as its default desktop.",['https://devuan.org/'],['33 (285 hits per day)'],['9.24'],['Linux'],['Debian'],['Global'],"['aarch64', 'armel', 'armhf', 'i686', 'x86_64']","['Cinnamon', 'KDE Plasma', 'LXQt', 'MATE', 'Xfce']","['Desktop', 'Live Medium', 'Server', 'Raspberry Pi']",['Active']
32,Devuan,mabox,Mabox is a Manjaro-based rolling release distribution. Mabox Linux features the Openbox window manager as its default interface and provides a welcome screen with access to utilities which add additional software to the operating system.,['https://maboxlinux.org/'],['87 (129 hits per day)'],['9.07'],['Linux'],"['Manjaro', 'Arch']",['Poland'],['x86_64'],['Openbox'],"['Desktop', 'Live Medium']",['Active']
33,Voyager,netbsd,"NetBSD is a free, secure, and highly portable UNIX-like Open Source operating system available for many platforms, from 64-bit AlphaServers and desktop systems to handheld and embedded devices. Its clean design and advanced features make it excellent in both production and research environments, and it is user-supported with complete source. Many applications are easily available through The NetBSD Packages Collection.",['http://www.netbsd.org/'],['151 (58 hits per day)'],['5'],['BSD'],[],['USA'],"['acorn26', 'acorn32', 'alpha', 'amiga', 'arc', 'atari', 'cats', 'cobalt', 'dreamcast', 'emips', 'evbarm', 'evbmips', 'evbppc', 'evbsh3', 'ews4800mips', 'hp300', 'hp700', 'hpcarm', 'hpcmips', 'hpcsh', 'i386', 'ibmnws', 'luna68k', 'm68010', 'mipsco', 'mvme68k', 'mvmeppc', 'news68k', 'newsmips', 'ofppc', 'pmax', 'powerpc', 'prep', 'sandpoint', 'sgimips', 'shark', 'sparc32', 'sparc64', 'sun2', 'sun3', 'vax', 'x68k', 'x86_64', 'zaurus']","['AfterStep', 'Awesome', 'Blackbox', 'Fluxbox', 'GNOME', 'IceWM', 'KDE', 'Openbox', 'WMaker', 'Xfce']","['Desktop', 'Raspberry Pi', 'Server']",['Active']
34,blendOS,eurolinux,"EuroLinux is an enterprise-class Linux distribution made and supported by the EuroLinux company, built mostly from code of Red Hat Enterprise Linux. The origin of the system ensures compatibility with most popular enterprise Linux distributions including Red Hat Enterprise Linux, Oracle Linux, and CentOS. While primarily geared toward server workloads, EuroLinux can also be used for desktop computing or any environment where long-term stability and support are demanded.",['https://en.euro-linux.com/eurolinux/'],['101 (113 hits per day)'],['4.67'],['Linux'],['Red Hat'],['Poland'],"['aarch64', 'x86_64']","['GNOME', 'KDE Plasma']","['Desktop', 'Server']",['Active']
35,Solus,q4os,"Q4OS is a Debian-based desktop Linux distribution designed to offer classic-style user interface (Trinity) and simple accessories, and to serve stable APIs for complex third-party applications, such as Google Chrome, VirtualBox and development tools. The system is also very useful for virtual cloud environments due to its very low hardware requirements.",['https://q4os.org/'],['27 (314 hits per day)'],['8.6'],['Linux'],['Debian (Stable)'],['Germany'],"['aarch64', 'armhf', 'i386', 'x86_64']","['KDE Plasma', 'Trinity']","['Desktop', 'Live Medium', 'Old Computers']",['Active']
36,Kubuntu,reactos,"ReactOS is a free and open-source operating system based on the best design principles found in the Windows NT architecture. Written completely from scratch, ReactOS is not a Linux-based system and it shares none of the UNIX architecture. The main goal of the ReactOS project is to provide an operating system which is binary compatible with Windows. This will allow Windows applications and drivers to run as they would on a Windows system. Additionally, the look and feel of the Windows operating system is used, such that people accustomed to the familiar user interface of Windows would find using ReactOS straightforward. The ultimate goal of ReactOS is to allow people to use it as an alternative to Windows without the need to change software they are used to.",['https://www.reactos.org/'],['70 (155 hits per day)'],['5.71'],['Other OS'],[],['Russia'],"['i386', 'x86_64']",['ReactOS Explorer'],"['Desktop', 'Old Computers', 'Live Medium']",['Active']
37,Bodhi,peppermint,"Peppermint OS is a Debian- and Devuan-based (previously a Lubuntu-based) Linux distribution that aims to be fast and easy on system resources. By employing its Site Specific Browser, Peppermint integrates seamlessly with cloud and web-based applications. The distribution's other features include straight forward updates and easy step-by-step installation using the Calamares installer. The distribution once employed a hybrid LXDE/Xfce desktop environment, mixing LXDE's lxsession with Xfce's panel and application menu. Starting in 2022, Peppermint OS shifted to using the Xfce desktop, dropping the LXDE components.",['https://peppermintos.com/'],['28 (313 hits per day)'],['7.65'],['Linux'],"['Debian (Stable)', 'Devuan']",['United Kingdom'],"['aarch64', 'i686', 'x86_64']",['Xfce'],"['Desktop', 'Live Medium', 'Raspberry Pi']",['Active']
38,SmartOS,solus,"Solus is a Linux distribution built from scratch. It uses a forked version of the PiSi package manager, maintained as ""eopkg"" within Solus, and a custom desktop environment called ""Budgie"", developed in-house. The Budgie desktop, which can be set to emulate the look and feel of the GNOME 2 desktop, is tightly integrated with the GNOME stack. The distribution is available for 64-bit computers only.",['https://getsol.us/'],['36 (272 hits per day)'],['7.4'],['Linux'],[],['Ireland'],['x86_64'],"['Budgie', 'GNOME', 'KDE Plasma', 'MATE']","['Beginners', 'Desktop', 'Live Medium']",['Active']
39,Tails,sparky,"SparkyLinux is a lightweight, fast and simple Linux distribution designed for both old and new computers featuring customised Enlightenment and LXDE desktops. It has been built on the ""testing"" branch of Debian GNU/Linux.",['https://sparkylinux.org/'],['23 (355 hits per day)'],['8.59'],['Linux'],['Debian'],['Poland'],"['armhf', 'i686', 'x86_64']","['Budgie', 'Enlightenment', 'JWM', 'KDE Plasma', 'LXDE', 'LXQt', 'MATE', 'Openbox', 'Xfce']","['Desktop', 'Live Medium']",['Active']
40,Gnoppix,arco,"ArcoLinux (previously known as ArchMerge) is a distribution based on Arch Linux. The development takes places in three branches - ArcoLinux, ArcoLinuxD and ArcoLinuxB. ArcoLinux is a full-featured distribution that ships with the Xfce desktop (as well as Openbox and i3 window managers). ArcoLinuxD is a minimal distribution that includes scripts that enable power users to install any desktop and application. ArcoLinuxB is a project that gives users the power to build custom distributions, while also developing several community editions with pre-configured desktops, such as Awesome, bspwm, Budgie, Cinnamon, Deepin, GNOME, MATE and KDE Plasma. ArcoLinux also provides various video tutorials as it places strong focus on learning and acquiring Linux skills.","['https://arcolinux.info/', 'https://arcolinux.com/']",['26 (328 hits per day)'],['8.51'],['Linux'],['Arch'],['Belgium'],['x86_64'],"['Awesome', 'bspwm', 'Budgie', 'Cinnamon', 'Deepin', 'GNOME', 'i3', 'MATE', 'KDE Plasma', 'Openbox', 'Xfce']","['Desktop', 'Live Medium']",['Active']
41,Slackware,slackware,"The Official Release of Slackware Linux by Patrick Volkerding is an advanced Linux operating system, designed with the twin goals of ease of use and stability as top priorities. Including the latest popular software while retaining a sense of tradition, providing simplicity and ease of use alongside flexibility and power, Slackware brings the best of all worlds to the table. Originally developed by Linus Torvalds in 1991, the UNIX-like Linux operating system now benefits from the contributions of millions of users and developers around the world. Slackware Linux provides new and experienced users alike with a fully-featured system, equipped to serve in any capacity from desktop workstation to machine-room server. Web, ftp, and email servers are ready to go out of the box, as are a wide selection of popular desktop environments. A full range of development tools, editors, and current libraries is included for users who wish to develop or compile additional software.",['http://www.slackware.com/'],['42 (224 hits per day)'],['9.02'],['Linux'],[],['USA'],"['arm', 'i586', 's390', 'x86_64']","['Blackbox', 'Fluxbox', 'FVWM', 'KDE', 'WMaker', 'Xfce']","['Desktop', 'Server']",['Active']
